title,text,llm_justification,Monetary_Financial,Inflation_Prices,Real_Economic_Activity,Labor_Consumption,Fiscal_Government,External_Sector
Indonesia passes sweeping bill expanding central bank role to spur growth,"JAKARTA: Indonesia's parliament on Thursday passed sweeping legislation that places further emphasis on Bank Indonesia supporting economic growth, while empowering lawmakers to evaluate independent financial regulators and the central bank.",Legally redirecting a central bank's mandate to prioritize job creation and growth is a structurally expansionary monetary regime shift. Altering institutional independence and changing supervisory oversight of regulators introduces macro friction and uncertainty regarding the trajectory of regulatory independence.,1.0,0.0,1.0,1.0,2.0,0.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"Parliament passed the bill by acclamation, with support from all parties, according to the deputy speaker, Sufmi Dasco Ahmad, who led Thursday's plenary session.","The statement describes a procedural legislative event without any mention of specific economic content, policy direction, or macro-domain metrics. No aspect carries systemic macro signals.",0.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"The bill, which has not yet been made public, has added to concerns among investors about the possibility it could lead to political interference in the central bank, with President Prabowo Subianto determined to stick to his high-growth agenda and achieve 8% economic expansion during his term.","Legislative threat to central bank independence increases systemic uncertainty and macro risk, despite stated high-growth targets.",2.0,0.0,2.0,0.0,0.0,0.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"Finance Minister Purbaya Yudhi Sadewa at a hearing with parliament's finance commission on Wednesday said existing legislation would be expanded to require the central bank to implement policies that ""that create an economic environment conducive to real sector growth and job creation"".","Legally forcing the central bank to target real sector growth and job creation via mandate expansion is a structurally expansionary, pro-cyclical policy shift that directly influences market expectations and institutional behavior.",1.0,0.0,1.0,1.0,0.0,0.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"The rupiah has lost more than 7% against the U.S. dollar so far this year, making it among the worst performing emerging Asian currencies.","A steep depreciation of the rupiah against the USD constitutes a direct currency shock that externally pressures the balance of trade and capital flows, making it a clear NEGATIVE external sector signal.",0.0,0.0,0.0,0.0,0.0,2.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"It hit a historic low of 18,045 per dollar on Thursday.","A historic low against the dollar signals severe currency depreciation, which is a classic external sector shock with negative implications for balance of trade and macroeconomic stability.",0.0,0.0,0.0,0.0,0.0,2.0
Indonesia passes sweeping bill expanding central bank role to spur growth,The stock market has plunged more than 30% year to date.,"A 30% aggregate equity market decline represents extreme financial asset volatility and systemic financial stress, escalating macro risk.",2.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes sweeping bill expanding central bank role to spur growth,"Promoting sustainable economic growth is already part of Bank Indonesia's mandate, along with price and foreign exchange rate stability.","The sentence merely restates the existing central bank mandate of growth, price stability, and FX stability without any policy change, new directive, or directional economic signal.",3.0,3.0,3.0,0.0,0.0,3.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"KUALA LUMPUR: The misconception that data centres only generate jobs is misplaced as they bring about wider economic benefits beyond direct employment through the ecosystems they help create, said Tengku Datuk Seri Zafrul Abdul Aziz.","The quote discusses the structural economic multiplier effects of data center ecosystems, but makes no concrete claim about directional momentum, actual business surveys, inflation vectors, fiscal balances, monetary policy, or trade flows. It is a neutral conceptual statement about economic structure.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,The Malaysian Investment Development Authority (MIDA) chairman said criticisms that data centres create relatively few jobs compared with manufacturing investments fail to take into account the broader economic spillovers the industry generates for the country.,"The statement is a defensive commentary regarding job creation from data centers versus manufacturing investments. It does not provide directional macroeconomic data or systemic policy changes, so it warrants abstention across all domains.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""The spillover is more indirect.",Sentence fragment lacks specific domain context and actionable directional signals for any macro dimension; no systemic vector can be inferred.,0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"That spillover comes from building and bringing in the right ecosystem, especially when you talk about artificial intelligence (AI).","The statement is a general, aspirational comment about developing an AI ecosystem. It lacks specific macroeconomic data, policy actions, or directional signals related to any of the six domains.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""It’s like building a highway.","The sentence is a metaphorical fragment without any explicit economic data, policy signal, or directional macro movement. It does not reference any of the six macro domains with actionable content, so all dimensions abstain.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"When you build the PLUS Highway, you cannot judge its value by the number of toll operators collecting tolls,” he said during a panel discussion at the Energy Transition Conference 2026 (ETCon26) here.","The quote is a conceptual/metaphorical statement about infrastructure project valuation metrics, not providing any directional economic signal regarding expansion or contraction. It touches on real economic activity (physical infrastructure) and fiscal government (public project evaluation) but only as flat, objective commentary without momentum.",0.0,0.0,3.0,0.0,3.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,Tengku Zafrul emphasised that MIDA is focused on ensuring that AI-related investments contribute positively to the broader economy through meaningful spillover effects.,"A statement of investment agency focus and aspiration for positive spillovers represents a neutral, forward-looking declaration of intent without any currently observable directional movement in macro data or economic signals.",0.0,0.0,3.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""We realise that we need to be more selective when it comes to investments such as data centres.","The sentence discusses a need for more selective micro-level investment decisions in data centres, with no reference to any macroeconomic aggregates, policy shifts, or systemic conditions across the six required domains.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"Energy efficiency is important, and that's why we came up with various methodologies and conditions,” he said.","The statement is a generic, non-directional claim about energy efficiency methodology without referencing any specific macroeconomic indicator, cost trend, or systemic condition.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"Tengku Zafrul said data centre operators have a responsibility not only to adopt green and sustainable energy sources, but also to help build the broader ecosystem that supports AI infrastructure in Malaysia.","The statement discusses data centre operators' responsibilities regarding green energy and ecosystem building for AI infrastructure. It describes a general goal or responsibility rather than announcing a binding policy or mandate that alters current market expectations or macro conditions. Therefore, all domains remain unmentioned or non-directional. 'Abstain' is used across all categories.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""The whole supply chain behind AI infrastructure must come with them.","The sentence fragment lacks sufficient context to determine any directional systemic economic vector across the required macro domains, failing to mention any explicit cost, output, policy, or trade signals.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"They should encourage it,” he said.","The sentence is a vague, out-of-context directive ('They should encourage it') with no identifiable macroeconomic domain, signal, or directional movement. All domains are entirely unmentioned.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"On local participation, he said the government is encouraging greater involvement of domestic companies and suppliers in data centre projects.","The target sentence discusses a policy encouraging domestic supplier involvement in specific data centre projects. This is a micro-commercial or industrial policy initiative without any mention of aggregate macro metrics like central banking, economy-wide prices, GDP, national employment, federal budget, or trade balance. It is too narrow to inform any of the six macro domains.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""We are encouraging local participation, we are imposing conditions of up to 40 per cent local content,” he said.","Mandating local content requirements in government contracts directly alters sovereign procurement and industrial policy, representing a state-level intervention in domestic fiscal and production structures.",0.0,0.0,1.0,0.0,1.0,2.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"Meanwhile, Tengku Zafrul said nuclear energy should remain under consideration as Malaysia seeks to achieve its net-zero aspirations and ensure sufficient energy supply for future growth.","The statement is a forward-looking, conditional proposal to consider a future energy source. It does not describe any active policy change, fiscal commitment, or current directional impact on any macroeconomic domain.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""If you look at our neighbours - Singapore, Vietnam, Thailand, Indonesia - they are all also going down the same path, where nuclear is one of the energy sources required if you want to meet the net-zero target.","The sentence discusses energy policy and net-zero targets in a general, comparative manner without providing specific data or directional signals on monetary, inflation, activity, labor, fiscal, or external sector metrics. No macro domain is directly impacted in a measurable or systemic way.",0.0,0.0,0.0,0.0,0.0,0.0
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""To me, the faster the better,” he added.","The utterance is a vague personal opinion with zero economic data, indicators, or macro domain signal content.",0.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,JAKARTA: Indonesia's parliament passed a bill Thursday (June 4) expanding the central bank's role to include responsibility for economic growth and allowing lawmakers to evaluate its performance.,"Legally expanding the central bank's mandate to include explicit responsibility for stimulating economic growth and subjecting its performance to external review shifts institutional policy expectations toward a systematically accommodative/expansionary vector, boosting national growth and labor market outlooks.",1.0,0.0,1.0,1.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"As the rupiah plummeted to a historic low against the dollar, the house of representatives gave the green light for a legislative amendment that has raised alarm bells over central bank independence.",Currency shock and legislative threat to central bank independence constitute escalating systemic macro volatility.,2.0,0.0,0.0,0.0,0.0,2.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"On Wednesday, Finance Minister Purbaya Yudhi Sadewa told parliament the amendment was aimed at boosting economic growth and enhancing global competitiveness at a time the country is facing multiple pressures from high global oil prices.","Step 1: Identify all explicit macro signals. 'Finance Minister ... told parliament ... aimed at boosting economic growth ... enhancing global competitiveness ... facing multiple pressures from high global oil prices.' This is an explicit government policy declaration of intent (fiscal/industrial planning). Step 2: Analyze direction. The amendment's stated purpose is an expansionary pro-growth and pro-competitiveness vector, which maps to POSITIVE for Real_Economic_Activity due to the intended structural boost. Step 3: High global oil prices are an explicit external sector shock (trade balance, input costs) that is NEGATIVE for External_Sector. There is no explicit mention of fiscal metrics like a budget deficit or tax rate to tag Fiscal_Government. Step 4: Inflation is mentioned only as a source of pressure from oil, no explicit domestic PPI/CPI directionality is stated. Result: Real_Economic_Activity is POSITIVE, External_Sector is NEGATIVE. Others: ABSTAIN.",0.0,0.0,1.0,0.0,0.0,2.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"""It's not just about exchange rate stability, or just about inflation.",CRITICAL PIPELINE PROCESSING FAILURE: Row flagged for manual review.,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"It's also about paying attention to economic growth and creating jobs,"" he said.","The sentence is a vague, rhetorical statement of intention without any concrete policy action, data release, or directional signal across the six macro domains. It provides no actionable economic information.",0.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"Parliament will now be tasked with evaluating the performance of the central bank with its new, expanded mandate as well as the Indonesia Deposit Insurance Corporation (LPS) and Financial Services Authority (OJK).","The sentence describes a parliamentary evaluation process of a central bank's expanded mandate and other financial authorities. This is an institutional procedural action without directional macro signals about policy easing, tightening, economic performance, or market conditions. No domain carries any positive, negative, or neutral directional momentum from this statement.",0.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"The LPS is an agency tasked with guaranteeing bank deposits and maintaining banking system stability, while the OJK is the country's financial regulator.","The sentence provides a purely descriptive institutional definition without any directional movement, policy shift, or macroeconomic impact signal.",3.0,0.0,0.0,0.0,0.0,0.0
Indonesia passes bill allowing parliament to evaluate central bank performance,"Under the amendment, the institutions will be obligated to follow parliament's recommendations.","The statement describes a change in institutional procedural obligation but provides no directional signal for any macro dimension—no monetary policy stance, price trend, growth momentum, labor condition, fiscal vector, or external balance move.",3.0,3.0,3.0,3.0,3.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit","KUALA LUMPUR: The ringgit was traded slightly firmer against the US dollar at the opening today, as soft sentiment towards the greenback outweighed better-than-expected key United States economic data.","The domestic currency (ringgit) firmer against the USD driven by external soft dollar sentiment, indicating near-term external sector strengthening via currency appreciation, though no other macro dimensions are directly engaged.",0.0,0.0,0.0,0.0,0.0,1.0
"Trade policy concerns temper US$ strength, lifting ringgit","While US manufacturing and employment data suggested that the economy remains resilient, concerns over US protectionist trade policies continued to weigh on sentiment.","Hard manufacturing and employment data indicate structural resilience in domestic output and job markets, while protectionist trade policy risks introduce a clear external sector headwind.",0.0,0.0,1.0,1.0,0.0,2.0
"Trade policy concerns temper US$ strength, lifting ringgit","At 8 am, the local currency improved to 3.9935/0005 against the greenback from yesterday’s close of 3.9955/9990.",The domestic currency nominal strengthening versus the dollar represents a reduction in imported input costs and a systemic external account improvement.,0.0,0.0,0.0,0.0,0.0,1.0
"Trade policy concerns temper US$ strength, lifting ringgit",Bank Muamalat Malaysia Bhd chief economist Dr Mohd Afzanizam Abdul Rashid said that the US Dollar Index (DXY) rose 0.30 per cent to 99.519 points.,"The text reports a flat, objective intra-day tick on a single foreign exchange metric without any contextualization as an escalation, shock, or structural shift. It is performance tracking without directional momentum or systemic impact.",0.0,0.0,0.0,0.0,0.0,3.0
"Trade policy concerns temper US$ strength, lifting ringgit","""While US economic data showed that the US economy remains strong, a business survey indicated that respondents are grappling with higher fuel costs and rising tariff rates,” he told Bernama.",The statement contrasts the strong overall US economy with specific headwinds from higher fuel input costs and rising tariff trade barriers.,0.0,2.0,1.0,0.0,0.0,2.0
